AX,AY,AZ
-0.009338565,-0.000809495,-7.618519639
-0.009425277,-0.000852833,-11.00911143
-0.009511985,-0.000896832,-14.45576868
-0.009598672,-0.000941496,-17.94429715
-0.009685324,-0.000986832,-21.45808506
-0.009771925,-0.001032845,-24.98452077
-0.009858461,-0.001079539,-28.51546215
-0.009944916,-0.001126921,-32.04760383
-0.010031276,-0.001174989,-35.58182401
-0.010117522,-0.001223743,-39.12044916
-0.010203636,-0.001273176,-42.66290627
-0.010289598,-0.001323277,-46.20235489
-0.01037539,-0.001374034,-49.72593193
-0.010460995,-0.00142543,-53.21836439
-0.010546397,-0.001477449,-56.66615363
-0.010631582,-0.001530072,-60.06000427
-0.010716538,-0.001583282,-63.39486482
-0.010801257,-0.001637057,-66.66788652
-0.01088573,-0.001691378,-69.87540232
-0.010969949,-0.00174622,-73.01082437
-0.011053902,-0.00180156,-76.06497053
-0.011137579,-0.001857375,-79.02849328
-0.011220968,-0.00191364,-81.89434937
-0.011304058,-0.001970329,-84.65843249
-0.011386836,-0.002027419,-87.31849145
-0.011469289,-0.002084885,-89.87284409
-0.0115514,-0.002142704,-92.31960161
-0.011633153,-0.002200852,-94.65613779
-0.011714529,-0.002259302,-96.87921138
-0.01179551,-0.002318032,-98.98672144
-0.011876073,-0.002377015,-100.9804424
-0.011956196,-0.00243623,-102.8669425
-0.012035855,-0.002495654,-104.6553589
-0.012115028,-0.002555263,-106.3547646
-0.012193696,-0.002615035,-107.9743111
-0.01227184,-0.002674945,-109.5255351
-0.012349444,-0.002734968,-111.023542
-0.01242649,-0.002795078,-112.4852304
-0.012502961,-0.002855248,-113.9265567
-0.012578834,-0.002915453,-115.3623308
-0.012654086,-0.002975669,-116.8085232
-0.012728691,-0.00303587,-118.282713
-0.012802627,-0.003096029,-119.7995983
-0.01287587,-0.003156122,-121.3647293
-0.012948399,-0.003216122,-122.9728753
-0.013020193,-0.003276005,-124.6133525
-0.013091233,-0.003335747,-126.2782492
-0.013161501,-0.003395325,-127.9674679
-0.013230981,-0.003454714,-129.687541
-0.013299653,-0.00351389,-131.445875
-0.013367499,-0.00357283,-133.2451168
-0.013434497,-0.003631513,-135.0816429
-0.013500622,-0.003689916,-136.9482542
-0.013565849,-0.00374802,-138.8377067
-0.013630153,-0.003805805,-140.743773
-0.013693507,-0.003863249,-142.6595891
-0.013755887,-0.003920332,-144.5759189
-0.013817268,-0.003977032,-146.4816445
-0.013877626,-0.004033329,-148.365909
-0.013936937,-0.004089203,-150.2193007
-0.013995176,-0.004144633,-152.0324441
-0.014052315,-0.0041996,-153.7935103
-0.014108326,-0.004254085,-155.4880325
-0.014163178,-0.004308069,-157.1026013
-0.014216842,-0.004361536,-158.6300687
-0.014269292,-0.004414468,-160.0715491
-0.014320502,-0.004466845,-161.4324794
-0.014370448,-0.004518651,-162.7152096
-0.014419107,-0.004569867,-163.9138798
-0.01446646,-0.004620475,-165.0155016
-0.014512486,-0.004670459,-166.0063269
-0.014557164,-0.004719805,-166.8789504
-0.014600473,-0.004768499,-167.6356577
-0.014642393,-0.004816528,-168.2862817
-0.014682905,-0.004863881,-168.8422222
-0.014721993,-0.004910547,-169.3105264
-0.014759639,-0.004956517,-169.6911334
-0.014795827,-0.005001782,-169.9779152
-0.014830544,-0.005046338,-170.1624937
-0.014863772,-0.005090182,-170.2387105
-0.014895496,-0.005133314,-170.2055053
-0.0149257,-0.005175736,-170.0674055
-0.014954365,-0.00521745,-169.8332202
-0.014981476,-0.005258456,-169.5138556
-0.015007016,-0.005298759,-169.119948
-0.015030968,-0.005338358,-168.6597811
-0.015053316,-0.005377257,-168.1381027
-0.015074046,-0.005415454,-167.5564307
-0.015093143,-0.005452951,-166.9147268
-0.015110591,-0.005489747,-166.2138256
-0.015126378,-0.005525838,-165.4576183
-0.015140491,-0.005561221,-164.6533596
-0.015152919,-0.005595891,-163.8093401
-0.015163649,-0.005629836,-162.9316003
-0.015172669,-0.005663047,-162.0227675
-0.015179966,-0.005695513,-161.0844843
-0.015185532,-0.005727223,-160.1211238
-0.015189359,-0.005758164,-159.1409122
-0.015191442,-0.005788326,-158.1535814
-0.015191779,-0.0058177,-157.1675731
-0.015190371,-0.005846277,-156.1898543
-0.015187219,-0.005874048,-155.2277348
-0.015182326,-0.005901009,-154.2897852
-0.015175693,-0.005927154,-153.3849798
-0.015167321,-0.005952477,-152.5217579
-0.015157212,-0.005976974,-151.7083501
-0.015145368,-0.006000639,-150.9538806
-0.015131795,-0.006023472,-150.2684083
-0.015116501,-0.006045471,-149.6604363
-0.015099491,-0.006066635,-149.1331565
-0.015080774,-0.00608696,-148.6830409
-0.015060357,-0.006106444,-148.3025362
-0.015038247,-0.006125077,-147.984391
-0.015014449,-0.006142852,-147.7241254
-0.014988968,-0.006159759,-147.51997
-0.014961808,-0.006175789,-147.3719679
-0.014932972,-0.006190932,-147.2816682
-0.014902468,-0.006205179,-147.2524322
-0.014870302,-0.006218523,-147.2893523
-0.014836484,-0.006230955,-147.397802
-0.014801026,-0.006242466,-147.5811096
-0.014763939,-0.006253051,-147.8392924
-0.014725235,-0.006262703,-148.1701384
-0.014684925,-0.006271415,-148.5715541
-0.014643019,-0.006279181,-149.0425028
-0.014599531,-0.006285995,-149.5811068
-0.014554474,-0.006291848,-150.1816262
-0.01450786,-0.006296736,-150.8336426
-0.014459704,-0.006300652,-151.5248348
-0.014410017,-0.006303594,-152.2453064
-0.014358814,-0.006305558,-152.990239
-0.014306106,-0.006306542,-153.7594635
-0.014251911,-0.006306546,-154.5547047
-0.01419624,-0.00630557,-155.3758664
-0.014139109,-0.006303615,-156.2179898
-0.014080528,-0.006300681,-157.0709476
-0.01402051,-0.006296767,-157.9227301
-0.013959066,-0.006291875,-158.7645072
-0.013896209,-0.006286002,-159.5939963
-0.013831955,-0.006279147,-160.4148907
-0.013766318,-0.006271308,-161.233594
-0.013699317,-0.00626248,-162.0566275
-0.013630968,-0.006252662,-162.8903239
-0.013561287,-0.006241854,-163.7413177
-0.013490289,-0.006230055,-164.6158303
-0.013417989,-0.006217271,-165.5176289
-0.013344401,-0.006203507,-166.4458018
-0.013269535,-0.006188771,-167.393656
-0.013193405,-0.006173068,-168.3500236
-0.013116023,-0.006156408,-169.3029969
-0.0130374,-0.0061388,-170.2436026
-0.01295755,-0.006120251,-171.1661489
-0.012876488,-0.006100768,-172.0648572
-0.012794231,-0.006080357,-172.930474
-0.012710797,-0.00605902,-173.7509038
-0.012626206,-0.006036761,-174.5152706
-0.012540479,-0.006013576,-175.2168573
-0.012453636,-0.005989464,-175.8520852
-0.0123657,-0.005964418,-176.4171867
-0.012276693,-0.005938433,-176.9060623
-0.012186637,-0.0059115,-177.3110151
-0.012095557,-0.005883611,-177.6252619
-0.012003475,-0.005854759,-177.8450757
-0.011910415,-0.005824935,-177.9706232
-0.0118164,-0.005794133,-178.0059441
-0.011721455,-0.005762346,-177.9587264
-0.011625607,-0.005729569,-177.8401844
-0.011528884,-0.005695801,-177.6646295
-0.011431313,-0.005661038,-177.447552
-0.011332926,-0.00562528,-177.2019061
-0.01123375,-0.005588524,-176.9349048
-0.011133816,-0.00555077,-176.6484903
-0.011033153,-0.005512016,-176.3434767
-0.01093179,-0.005472261,-176.023694
-0.010829756,-0.005431507,-175.6967431
-0.010727077,-0.005389754,-175.3714855
-0.010623782,-0.005347005,-175.0550628
-0.010519901,-0.005303264,-174.751652
-0.010415464,-0.005258535,-174.4628736
-0.010310503,-0.005212825,-174.1885059
-0.010205047,-0.005166141,-173.9262809
-0.010099128,-0.005118492,-173.6705783
-0.009992773,-0.005069886,-173.4114045
-0.00988601,-0.005020334,-173.1355972
-0.009778865,-0.00496984,-172.8304991
-0.00967136,-0.004918411,-172.488
-0.00956352,-0.004866049,-172.106455
-0.009455366,-0.004812758,-171.6895413
-0.009346923,-0.004758544,-171.2428502
-0.009238213,-0.00470341,-170.7701105
-0.009129261,-0.004647361,-170.2714124
-0.009020089,-0.004590398,-169.7448617
-0.008910721,-0.004532525,-169.1901103
-0.008801182,-0.004473742,-168.6101119
-0.008691493,-0.004414051,-168.0095297
-0.008581676,-0.004353455,-167.3920017
-0.008471752,-0.004291956,-166.7592421
-0.008361737,-0.00422956,-166.1123889
-0.008251647,-0.00416627,-165.4534732
-0.008141499,-0.004102093,-164.7849909
-0.008031308,-0.004037032,-164.1079021
-0.007921093,-0.003971093,-163.4207128
-0.007810872,-0.003904285,-162.7217201
-0.007700663,-0.003836616,-162.0125842
-0.007590483,-0.003768096,-161.298839
-0.007480351,-0.003698738,-160.5859113
-0.007370283,-0.003628553,-159.8745493
-0.007260296,-0.003557553,-159.1606587
-0.007150402,-0.00348575,-158.4395693
-0.007040614,-0.003413154,-157.7095658
-0.006930947,-0.003339775,-156.9705
-0.006821413,-0.003265625,-156.2187901
-0.006712025,-0.003190714,-155.4440526
-0.006602797,-0.003115052,-154.6314293
-0.006493741,-0.003038649,-153.768507
-0.006384869,-0.002961518,-152.8516042
-0.006276192,-0.002883669,-151.8870158
-0.006167718,-0.002805117,-150.8871766
-0.006059456,-0.002725873,-149.8652921
-0.005951414,-0.002645951,-148.8320126
-0.005843599,-0.002565364,-147.7948605
-0.005736015,-0.002484124,-146.7589865
-0.005628671,-0.002402247,-145.7280061
-0.005521572,-0.002319749,-144.7040607
-0.005414726,-0.002236644,-143.6866139
-0.005308139,-0.002152951,-142.6710221
-0.005201819,-0.002068687,-141.6486167
-0.005095773,-0.001983871,-140.6084794
-0.004990005,-0.00189852,-139.5397085
-0.004884522,-0.001812651,-138.4336637
-0.00477933,-0.001726283,-137.2865178
-0.004674432,-0.001639431,-136.1012775
-0.00456983,-0.001552115,-134.8874976
-0.004465525,-0.001464349,-133.6582804
-0.004361519,-0.00137615,-132.4257856
-0.00425781,-0.001287536,-131.1971476
-0.004154399,-0.001198526,-129.972802
-0.004051285,-0.001109138,-128.7478532
-0.003948467,-0.001019393,-127.5151159
-0.003845941,-0.000929307,-126.2681764
-0.003743703,-0.000838894,-125.0038835
-0.00364175,-0.000748166,-123.7240828
-0.003540078,-0.000657134,-122.4353316
-0.003438686,-0.000565812,-121.1452448
-0.003337571,-0.000474211,-119.8573924
-0.003236733,-0.000382347,-118.5695439
-0.003136169,-0.000290238,-117.2775264
-0.003035877,-0.000197904,-115.9806539
-0.002935856,-0.000105367,-114.682319
-0.002836103,-1.26492E-05,-113.3850948
-0.002736617,8.02261E-05,-112.0866727
-0.002637395,0.000173234,-110.7817402
-0.002538434,0.00026635,-109.46739
-0.002439729,0.00035955,-108.1461617
-0.002341275,0.000452808,-106.8245107
-0.002243071,0.0005461,-105.5089298
-0.002145115,0.0006394,-104.2026228
-0.002047407,0.000732685,-102.9043814
-0.001949947,0.000825929,-101.6104836
-0.001852734,0.000919109,-100.3185313
-0.001755767,0.001012201,-99.02938909
-0.001659045,0.001105185,-97.74477616
-0.001562566,0.001198041,-96.46326531
-0.001466324,0.001290753,-95.17930342
-0.001370319,0.001383305,-93.88645687
-0.001274549,0.001475682,-92.58208582
-0.001179011,0.001567869,-91.26938539
-0.001083706,0.00165985,-89.95477302
-0.000988633,0.001751611,-88.64268359
-0.000893792,0.001843136,-87.33230363
-0.000799183,0.001934409,-86.01922464
-0.000704804,0.002025414,-84.70109717
-0.00061065,0.002116134,-83.38314194
-0.000516715,0.002206552,-82.07882344
-0.000422995,0.002296651,-80.80395107
-0.000329484,0.002386416,-79.56749399
-0.000236175,0.002475829,-78.36568225
-0.000143064,0.00256487,-77.18419083
-5.01437E-05,0.002653523,-76.00691665
4.25903E-05,0.002741769,-74.82463306
0.000135143,0.00282959,-73.63770459
0.000227517,0.002916968,-72.4523313
0.000319718,0.003003886,-71.27389467
0.000411749,0.003090323,-70.10160976
0.000503616,0.003176263,-68.92768846
0.000595323,0.003261688,-67.74207492
0.000686878,0.00334658,-66.53958965
0.000778283,0.003430924,-65.3234199
0.000869541,0.003514706,-64.10167018
0.000960654,0.003597909,-62.87997328
0.001051619,0.003680519,-61.6567753
0.001142433,0.003762523,-60.42513188
0.001233091,0.003843905,-59.1785051
0.001323589,0.00392465,-57.91504992
0.001413924,0.004004739,-56.63792041
0.001504094,0.004084155,-55.35369809
0.001594097,0.004162881,-54.07145302
0.001683928,0.004240897,-52.80215194
0.001773582,0.00431819,-51.55712743
0.001863052,0.004394743,-50.3458939
0.001952328,0.004470541,-49.17490254
0.002041398,0.004545568,-48.04788836
0.002130253,0.004619804,-46.96650296
0.002218883,0.004693228,-45.92994717
0.00230728,0.004765823,-44.93421584
0.002395434,0.004837568,-43.97244489
0.002483338,0.004908446,-43.03674835
0.002570982,0.004978436,-42.12036162
0.00265836,0.005047519,-41.21845791
0.002745463,0.005115675,-40.32743395
0.002832285,0.005182883,-39.44421591
0.00291882,0.005249124,-38.56658612
0.003005059,0.005314378,-37.69379537
0.003090994,0.005378624,-36.82639967
0.003176613,0.00544184,-35.96517847
0.003261905,0.005504006,-35.10990996
0.00334686,0.0055651,-34.25888129
0.00343147,0.0056251,-33.40964374
0.003515738,0.005683986,-32.56084983
0.003599668,0.005741737,-31.71392708
0.003683271,0.005798335,-30.87291472
0.003766563,0.005853759,-30.04170818
0.003849557,0.005907994,-29.2202626
0.00393227,0.005961023,-28.40279659
0.004014715,0.006012834,-27.57920069
0.004096907,0.006063416,-26.73842566
0.004178858,0.00611276,-25.87250364
0.004260581,0.006160856,-24.979916
0.004342087,0.006207699,-24.06630778
0.004423386,0.006253283,-23.14154851
0.00450449,0.006297602,-22.214813
0.004585409,0.006340651,-21.29076446
0.004666154,0.006382427,-20.36904423
0.00474673,0.006422924,-19.44714982
0.004827143,0.006462138,-18.52419066
0.0049074,0.006500062,-17.60164334
0.004987505,0.006536689,-16.67957554
0.005067463,0.006572013,-15.75140025
0.005147277,0.006606028,-14.80197758
0.00522695,0.006638733,-13.81096226
0.005306484,0.006670127,-12.75892709
0.005385881,0.006700211,-11.63193517
0.005465141,0.00672899,-10.4220502
0.005544264,0.00675647,-9.124683051
0.005623248,0.006782658,-7.73593826
0.00570209,0.006807561,-6.25267534
0.005780787,0.006831189,-4.674958181
0.005859336,0.006853548,-3.007953367
0.005937736,0.006874651,-1.260970881
0.006015983,0.006894506,0.556005802
0.006094076,0.006913126,2.436054964
0.006172012,0.006930523,4.377071986
0.00624979,0.006946709,6.38099365
0.006327407,0.006961699,8.451981466
0.006404863,0.006975508,10.59523774
0.006482158,0.00698815,12.81637277
0.006559295,0.006999642,15.12015967
0.006636277,0.007010001,17.50806451
0.00671311,0.007019241,19.97526619
0.006789793,0.007027377,22.5096766
0.006866329,0.007034426,25.09567587
0.006942713,0.007040402,27.72186865
0.007018943,0.007045322,30.38779941
0.007095015,0.007049203,33.10407487
0.007170921,0.00705206,35.88526069
0.007246652,0.007053909,38.74085949
0.007322195,0.007054764,41.67069784
0.007397535,0.007054641,44.66711013
0.007472656,0.007053554,47.72163351
0.007547542,0.007051519,50.83129453
0.007622171,0.00704855,54.00040523
0.007696523,0.007044661,57.23756262
0.007770575,0.007039865,60.55091307
0.007844305,0.007034174,63.94504969
0.007917689,0.007027603,67.42060399
0.007990707,0.007020166,70.97528681
0.008063334,0.00701188,74.60490872
0.008135547,0.007002758,78.30419645
0.008207323,0.006992816,82.06769086
0.008278638,0.006982063,85.89056326
0.008349469,0.006970509,89.76939101
0.008419793,0.006958162,93.70250434
0.008489586,0.00694503,97.68853705
0.008558824,0.006931123,101.7234871
0.008627485,0.006916452,105.7992879
0.008695545,0.006901026,109.9056855
0.008762981,0.006884856,114.0329337
0.008829768,0.006867953,118.1717316
0.008895883,0.006850325,122.3111016
0.008961304,0.006831984,126.4385113
0.009026006,0.00681294,130.54416
0.009089969,0.006793205,134.6259382
0.009153168,0.00677279,138.6901833
0.009215583,0.006751708,142.7472291
0.00927719,0.00672997,146.8050175
0.009337966,0.00670759,150.8653218
0.009397891,0.006684579,154.9248901
0.009456945,0.006660952,158.9797308
0.009515109,0.006636719,163.0285631
0.009572362,0.006611896,167.0727546
0.009628686,0.006586497,171.1131379
0.009684062,0.00656054,175.1463151
0.009738469,0.006534046,179.1634952
0.009791885,0.006507038,183.1534322
0.009844288,0.006479537,187.1075493
0.009895656,0.006451565,191.0227344
0.009945966,0.006423144,194.8991767
0.009995192,0.006394292,198.7353247
0.010043308,0.006365029,202.5247432
0.010090288,0.006335371,206.2575212
0.010136104,0.006305334,209.9241906
0.010180728,0.006274934,213.5183802
0.01022413,0.006244187,217.036917
0.010266281,0.006213108,220.4784593
0.010307151,0.006181715,223.8418626
0.010346711,0.006150028,227.1248948
0.010384932,0.006118065,230.3234594
0.010421783,0.006085845,233.4313715
0.010457235,0.006053388,236.440827
0.010491259,0.00602071,239.3436682
0.010523823,0.005987828,242.1331998
0.010554896,0.005954758,244.8055775
0.010584443,0.005921515,247.3598482
0.01061243,0.005888114,249.7968275
0.010638823,0.005854566,252.1174465
0.010663586,0.005820884,254.3211796
0.010686682,0.005787077,256.4052488
0.010708073,0.005753154,258.3645007
0.01072772,0.005719126,260.1911212
0.010745583,0.005685005,261.8743495
0.010761618,0.005650803,263.4014576
0.010775785,0.005616536,264.7603018
0.010788043,0.005582216,265.9418947
0.010798349,0.005547856,266.9413641
0.010806663,0.005513469,267.7576065
0.01081294,0.005479067,268.3933274
0.010817137,0.00544466,268.8559804
0.010819208,0.005410263,269.1578286
0.010819105,0.005375884,269.3135969
0.010816779,0.005341537,269.3369207
0.010812179,0.00530723,269.2381208
0.010805254,0.005272974,269.0245506
0.010795952,0.005238779,268.7028004
0.010784221,0.005204655,268.2807388
0.01077001,0.005170609,267.7672673
0.010753266,0.005136652,267.169402
0.010733934,0.005102789,266.4890686
0.010711958,0.005069027,265.7227761
0.010687284,0.005035372,264.8648621
0.010659855,0.005001824,263.9121058
0.010629613,0.004968387,262.8667288
0.010596505,0.004935063,261.7360476
0.010560473,0.004901851,260.5294329
0.010521463,0.004868751,259.2552067
0.01047942,0.004835763,257.919683
0.01043429,0.004802884,256.5279644
0.010386019,0.004770112,255.0842269
0.010334553,0.004737445,253.5903126
0.01027984,0.004704879,252.0438514
0.010221825,0.004672409,250.4376687
0.010160456,0.004640032,248.7609908
0.010095678,0.004607743,247.0017911
0.010027438,0.004575538,245.1490567
0.009955681,0.004543414,243.1939921
0.009880351,0.004511368,241.1301831
0.009801392,0.004479398,238.9534127
0.009718746,0.004447503,236.6616001
0.009632355,0.004415682,234.2547601
0.009542161,0.004383934,231.7348804
0.009448108,0.004352259,229.1059831
0.009350139,0.004320654,226.3743289
0.009248197,0.004289118,223.5482741
0.009142225,0.004257652,220.6373728
0.009032164,0.004226253,217.6507849
0.008917957,0.004194921,214.5959694
0.008799544,0.004163656,211.4787873
0.008676869,0.004132455,208.3047052
0.008549874,0.004101322,205.0797349
0.008418505,0.004070259,201.8103516
